order_id,trade_date,symbol,region,sector,side,urgency,strategy,venue,hedge_basket,arrival_mid,avg_fill_price,benchmark_mid_5m,benchmark_mid_30m,order_qty,filled_qty,completion_rate_pct,participation_rate_pct,fill_minutes,vol_1m_pct,spread_bps,slippage_bps,shortfall_bps,implementation_shortfall_usd,pre_beta_usd,post_beta_usd,hedge_notional_usd,beta_reduction_pct,time_to_flat_min,fill_quality_score
EXE0011,2026-01-19,EHE011,Europe,Healthcare,BUY,Urgent,Liquidity Seeking,XPAR,HXEU,91.0,91.19,91.5,91.16,5812,5704,98.15,13.68,4.0,1.18,9.14,20.58,20.58,1068.28,36175.94,9189.49,37063.18,74.6,9.51,46.76
EXE0012,2026-01-20,ACO012,Asia,Consumer,SELL,Patient,VWAP,XHKG,HXAS_HIGHBETA,89.66,89.59,89.38,88.82,11606,10790,92.97,12.34,39.82,0.25,12.29,7.38,7.38,713.94,-636959.27,-25478.37,519280.25,96.0,36.27,79.26
EXE0013,2026-01-21,USE013,US,Semis,BUY,Normal,TWAP,XNAS,HXUS,56.08,56.18,55.93,55.42,23490,22911,97.54,12.09,35.13,2.06,13.18,16.7,16.7,2145.86,559638.41,218626.39,525202.09,60.93,22.05,47.72
EXE0014,2026-01-22,EHE014,Europe,Healthcare,SELL,Urgent,Manual Hedge,XAMS,HXEU_GROWTH,70.61,70.51,70.54,70.66,5393,5341,99.03,19.57,9.18,0.95,8.34,14.3,14.3,539.3,-287459.94,-125065.37,220233.85,56.49,10.91,56.43
EXE0015,2026-01-23,ACO015,Asia,Consumer,BUY,Normal,Liquidity Seeking,XTKS,HXAS,68.16,68.25,68.16,68.12,8675,8382,96.63,10.59,20.92,1.53,8.99,13.1,13.1,748.44,-553967.32,-144058.3,441861.09,74.0,17.64,61.59
EXE0016,2026-01-26,USE016,US,Semis,SELL,Urgent,VWAP,XNAS,HXUS_TECH,39.7,39.65,39.75,39.49,13356,12859,96.28,16.28,12.69,1.1,9.22,14.26,14.26,728.04,76896.04,26582.8,67302.95,65.43,9.13,56.5
EXE0017,2026-01-27,EHE017,Europe,Healthcare,BUY,Patient,TWAP,XPAR,HXEU,112.4,112.51,113.02,112.68,10678,9973,93.4,9.67,46.38,0.95,7.09,9.03,9.03,1012.27,244975.6,58908.19,235339.13,75.95,33.12,67.41
EXE0018,2026-01-28,ACO018,Asia,Consumer,SELL,Normal,Manual Hedge,XHKG,HXAS_HIGHBETA,65.19,65.13,65.13,65.1,22839,22174,97.09,17.56,19.5,0.25,6.09,8.87,8.87,1282.19,-398187.53,-91003.49,382879.47,77.15,17.94,71.13
EXE0019,2026-01-29,USE019,US,Semis,BUY,Urgent,Liquidity Seeking,XNAS,HXUS,76.32,76.43,76.6,75.78,4613,4613,100.0,11.06,8.12,1.56,12.26,14.23,14.23,501.0,126487.11,37593.04,119599.58,70.28,10.5,59.87
EXE0020,2026-01-30,EHE020,Europe,Healthcare,SELL,Patient,VWAP,XAMS,HXEU_GROWTH,98.08,98.01,97.59,97.99,4443,4163,93.7,13.02,40.39,1.03,3.44,6.73,6.73,274.78,-36966.86,-6113.19,38279.35,83.46,28.0,77.76
EXE0021,2026-02-02,ACO021,Asia,Consumer,BUY,Normal,TWAP,XTKS,HXAS,99.87,100.05,100.17,99.57,10204,10002,98.02,17.21,27.1,1.97,11.49,18.27,18.27,1824.97,-119745.99,-32681.62,124797.35,72.71,8.78,48.0
EXE0022,2026-02-03,USE022,US,Semis,SELL,Patient,Manual Hedge,XNAS,HXUS_TECH,61.09,61.05,60.7,61.16,17342,16147,93.11,4.0,39.14,0.83,14.41,6.36,6.36,627.32,-492228.06,-111043.44,483254.01,77.44,27.21,77.15
EXE0023,2026-02-04,EHE023,Europe,Healthcare,BUY,Normal,Liquidity Seeking,XPAR,HXEU,77.58,77.68,77.67,76.96,4601,4459,96.91,15.62,26.26,2.29,4.58,13.3,13.3,460.08,16758.9,4125.64,15835.79,75.38,17.01,63.1
EXE0024,2026-02-05,ACO024,Asia,Consumer,SELL,Urgent,VWAP,XHKG,HXAS_HIGHBETA,61.02,60.91,61.45,61.31,14873,14721,98.98,12.46,7.31,1.33,9.45,17.5,17.5,1571.93,442790.63,147686.45,328357.89,66.65,11.65,51.27
EXE0025,2026-02-06,USE025,US,Semis,BUY,Patient,TWAP,XNAS,HXUS,84.75,84.94,84.8,84.71,19763,18506,93.64,25.24,37.77,3.15,15.24,22.65,22.65,3552.31,-871214.56,-113590.86,908528.55,86.96,34.29,39.85
EXE0026,2026-02-09,EHE026,Europe,Healthcare,SELL,Normal,Manual Hedge,XAMS,HXEU_GROWTH,94.7,94.54,94.8,95.7,8890,8858,99.64,21.9,14.84,1.2,9.31,16.96,16.96,1422.63,218361.89,77263.78,165817.73,64.62,23.36,47.64
EXE0027,2026-02-10,ACO027,Asia,Consumer,BUY,Urgent,Liquidity Seeking,XTKS,HXAS,98.2,98.36,98.55,98.04,3497,3401,97.25,22.89,4.0,0.89,9.55,16.85,16.85,562.75,444001.0,118416.56,343684.67,73.33,10.55,56.7
EXE0028,2026-02-11,USE028,US,Semis,SELL,Patient,VWAP,XNAS,HXUS_TECH,126.83,126.71,126.13,126.72,7458,6842,91.74,20.77,42.01,0.79,5.91,9.35,9.35,811.38,220123.73,67004.62,198306.43,69.56,38.13,65.15
EXE0029,2026-02-12,EHE029,Europe,Healthcare,BUY,Urgent,TWAP,XPAR,HXEU,34.52,34.58,34.73,34.9,10588,10273,97.03,12.59,12.4,0.96,9.59,18.04,18.04,639.78,-57268.05,-25601.88,55754.45,55.29,19.88,47.21
EXE0030,2026-02-13,ACO030,Asia,Consumer,SELL,Patient,Manual Hedge,XHKG,HXAS_HIGHBETA,59.28,59.19,59.02,59.21,8495,7888,92.86,15.31,44.75,1.99,12.0,15.77,15.77,737.41,-223627.39,-29156.84,235337.97,86.96,32.35,48.92
EXE0031,2026-02-16,USE031,US,Semis,BUY,Normal,Liquidity Seeking,XNAS,HXUS,109.24,109.36,109.67,109.3,5949,5949,100.0,16.89,16.58,0.85,8.07,10.64,10.64,691.45,227264.89,84639.89,196919.9,62.76,25.4,66.73
EXE0032,2026-02-17,EHE032,Europe,Healthcare,SELL,Urgent,VWAP,XAMS,HXEU_GROWTH,89.13,88.99,89.08,89.94,10673,10525,98.62,4.22,18.61,0.95,8.18,15.52,15.52,1455.86,7032.17,2360.09,10000.0,66.44,6.26,55.38
EXE0033,2026-02-18,ACO033,Asia,Consumer,BUY,Patient,TWAP,XTKS,HXAS,83.89,83.95,84.08,83.88,9098,8474,93.14,27.05,44.13,1.41,10.23,8.01,8.01,569.39,131086.05,9134.87,111658.87,93.03,39.06,70.46
EXE0034,2026-02-19,USE034,US,Semis,SELL,Normal,Manual Hedge,XNAS,HXUS_TECH,47.55,47.49,47.29,47.03,9487,9445,99.56,15.28,34.1,0.75,9.46,13.69,13.69,614.88,108290.24,31620.81,111663.49,70.8,15.39,59.77
EXE0035,2026-02-20,EHE035,Europe,Healthcare,BUY,Urgent,Liquidity Seeking,XPAR,HXEU,90.64,90.79,90.96,91.81,3177,2935,92.38,6.26,15.01,1.77,10.9,15.94,15.94,424.07,81656.21,26426.67,64034.51,67.64,11.66,47.7
EXE0036,2026-02-23,ACO036,Asia,Consumer,SELL,Normal,VWAP,XHKG,HXAS_HIGHBETA,107.97,107.86,107.22,108.7,6994,6961,99.53,19.88,27.74,1.35,5.36,10.35,10.35,777.91,-227770.06,-59524.65,173132.88,73.87,16.06,71.76
EXE0037,2026-02-24,USE037,US,Semis,BUY,Urgent,TWAP,XNAS,HXUS,51.17,51.25,51.01,51.14,22971,21959,95.59,10.92,24.12,1.52,3.76,15.62,15.62,1754.97,-559857.58,-159824.04,487204.79,71.45,17.24,54.94
EXE0038,2026-02-25,EHE038,Europe,Healthcare,SELL,Patient,Manual Hedge,XAMS,HXEU_GROWTH,46.41,46.34,46.4,46.21,37955,35449,93.4,14.84,41.34,1.83,7.66,14.68,14.68,2415.12,377016.75,42888.33,314685.97,88.62,40.01,59.23
EXE0039,2026-02-26,ACO039,Asia,Consumer,BUY,Normal,Liquidity Seeking,XTKS,HXAS,88.18,88.27,88.05,88.2,13029,12431,95.41,15.41,18.84,1.76,8.67,10.96,10.96,1201.34,62363.54,19527.36,63544.42,68.69,18.79,65.63
EXE0040,2026-02-27,USE040,US,Semis,SELL,Urgent,VWAP,XNAS,HXUS_TECH,94.25,94.1,94.54,94.3,13902,13394,96.34,13.14,4.0,2.48,6.8,16.25,16.25,2051.44,-1032693.57,-210344.77,986870.76,79.63,8.92,52.98
EXE0041,2026-03-02,EHE041,Europe,Healthcare,BUY,Patient,TWAP,XPAR,HXEU,60.21,60.26,60.29,60.65,7788,7511,96.44,6.41,49.17,1.09,5.27,8.33,8.33,376.69,138255.01,19321.51,138841.92,86.02,36.83,73.54
EXE0042,2026-03-03,ACO042,Asia,Consumer,SELL,Normal,Manual Hedge,XHKG,HXAS_HIGHBETA,91.69,91.56,91.52,92.08,4402,4303,97.75,16.39,19.36,1.54,9.39,14.27,14.27,563.03,198179.31,45009.64,208934.29,77.29,23.1,58.05
EXE0043,2026-03-04,USE043,US,Semis,BUY,Patient,Liquidity Seeking,XNAS,HXUS,82.6,82.69,82.79,82.3,5628,5161,91.71,7.52,55.17,1.41,7.83,10.46,10.46,445.93,149578.87,35499.95,121582.08,76.27,30.1,65.48
EXE0044,2026-03-05,EHE044,Europe,Healthcare,SELL,Normal,VWAP,XAMS,HXEU_GROWTH,69.88,69.78,70.12,69.73,11668,11457,98.19,10.88,33.46,1.51,10.5,13.98,13.98,1119.24,699369.14,190590.94,588409.91,72.75,21.1,61.98
EXE0045,2026-03-06,ACO045,Asia,Consumer,BUY,Urgent,TWAP,XTKS,HXAS,90.27,90.45,90.42,89.82,4080,3810,93.37,11.88,13.22,1.77,9.88,19.25,19.25,662.08,-349419.48,-76532.85,284984.68,78.1,5.5,43.09
EXE0046,2026-03-09,USE046,US,Semis,SELL,Patient,Manual Hedge,XNAS,HXUS_TECH,118.67,118.56,119.1,118.64,13239,13239,100.0,15.14,51.68,0.25,9.58,9.91,9.91,1556.99,-1151108.97,-282128.01,978422.3,75.49,31.21,73.69
EXE0047,2026-03-10,EHE047,Europe,Healthcare,BUY,Normal,Liquidity Seeking,XPAR,HXEU,80.61,80.77,80.55,80.2,2768,2618,94.57,12.7,28.98,1.91,11.83,19.77,19.77,417.23,-78939.16,-28956.84,66342.79,63.32,21.83,40.61
EXE0048,2026-03-11,ACO048,Asia,Consumer,SELL,Urgent,VWAP,XHKG,HXAS_HIGHBETA,67.29,67.2,67.24,67.38,19509,18744,96.08,12.42,8.85,1.56,5.36,13.11,13.11,1653.43,1136452.34,458192.69,1123477.73,59.68,14.47,60.81
EXE0049,2026-03-12,USE049,US,Semis,BUY,Patient,TWAP,XNAS,HXUS,135.12,135.17,135.86,136.04,2727,2521,92.44,17.46,33.03,0.27,8.79,3.86,3.86,131.48,89946.82,3597.87,67306.55,96.0,39.29,82.6
EXE0050,2026-03-13,EHE050,Europe,Healthcare,SELL,Urgent,Manual Hedge,XAMS,HXEU_GROWTH,109.88,109.66,110.14,109.75,7935,7458,93.99,18.15,5.39,1.69,11.66,20.54,20.54,1683.28,156985.34,51315.28,124408.34,67.31,10.02,43.21
EXE0051,2026-03-16,ACO051,Asia,Consumer,BUY,Patient,Liquidity Seeking,XTKS,HXAS,70.9,70.99,71.32,71.6,6672,6550,98.18,15.19,29.57,1.91,17.67,12.98,12.98,602.78,277861.89,70658.36,299440.2,74.57,42.98,63.8
EXE0052,2026-03-17,USE052,US,Semis,SELL,Normal,VWAP,XNAS,HXUS_TECH,108.95,108.8,108.58,108.46,6291,6291,100.0,16.34,18.03,1.44,6.95,13.74,13.74,941.71,-287474.31,-50780.57,275789.15,82.34,23.76,64.48
EXE0053,2026-03-18,EHE053,Europe,Healthcare,BUY,Urgent,TWAP,XPAR,HXEU,52.73,52.82,52.98,53.7,11529,11529,100.0,8.56,14.02,1.18,10.7,16.95,16.95,1030.36,261842.21,103926.71,257426.68,60.31,11.33,54.15
EXE0054,2026-03-19,ACO054,Asia,Consumer,SELL,Patient,Manual Hedge,XHKG,HXAS_HIGHBETA,69.04,68.94,69.05,69.81,13471,12957,96.18,11.94,33.87,1.11,8.16,14.97,14.97,1339.21,67507.95,9712.97,69619.72,85.61,35.32,57.38
EXE0055,2026-03-20,USE055,US,Semis,BUY,Normal,Liquidity Seeking,XNAS,HXUS,73.77,73.9,74.0,73.84,8269,7780,94.09,18.12,26.95,1.92,8.01,16.61,16.61,953.35,-237699.51,-29821.4,212798.24,87.45,27.25,54.05
EXE0056,2026-03-23,EHE056,Europe,Healthcare,SELL,Urgent,VWAP,XAMS,HXEU_GROWTH,138.8,138.62,139.56,138.19,4166,4166,100.0,17.97,22.89,0.41,9.07,12.86,12.86,743.59,-75648.28,-30331.97,59075.39,59.9,10.07,63.84
EXE0057,2026-03-24,ACO057,Asia,Consumer,BUY,Normal,TWAP,XTKS,HXAS,76.71,76.79,76.62,76.51,5330,5303,99.49,25.69,24.19,1.52,9.04,10.56,10.56,429.58,269841.3,84057.96,218104.51,68.85,25.03,69.48
EXE0058,2026-03-25,USE058,US,Semis,SELL,Urgent,Manual Hedge,XNAS,HXUS_TECH,91.12,90.98,91.18,90.87,6141,5891,95.94,17.23,16.4,0.86,6.83,15.45,15.45,829.37,-345487.33,-130867.36,308892.33,62.12,12.63,48.9
EXE0059,2026-03-26,EHE059,Europe,Healthcare,BUY,Patient,Liquidity Seeking,XPAR,HXEU,51.99,52.05,51.86,51.84,14637,14012,95.73,24.07,54.2,2.11,7.5,11.45,11.45,834.16,598569.11,55966.04,551182.9,90.65,30.45,68.08
EXE0060,2026-03-27,ACO060,Asia,Consumer,SELL,Normal,VWAP,XHKG,HXAS_HIGHBETA,50.75,50.7,50.94,50.63,17022,16693,98.07,8.5,26.45,0.59,7.26,11.29,11.29,956.51,512535.0,20501.4,483201.68,96.0,23.51,71.0
EXE0061,2026-03-30,USE061,US,Semis,BUY,Urgent,TWAP,XNAS,HXUS,36.99,37.06,36.93,37.59,18325,17743,96.83,14.48,15.71,1.66,5.31,20.61,20.61,1352.61,-190152.52,-37583.43,197922.26,80.24,24.05,44.36
EXE0062,2026-03-31,EHE062,Europe,Healthcare,SELL,Patient,Manual Hedge,XAMS,HXEU_GROWTH,67.12,67.05,67.03,67.61,8699,8189,94.13,15.37,45.84,1.63,9.44,10.74,10.74,590.35,413117.4,44929.44,371326.09,89.12,37.74,71.06
EXE0063,2026-04-01,ACO063,Asia,Consumer,BUY,Normal,Liquidity Seeking,XTKS,HXAS,103.32,103.42,103.01,103.79,16532,16342,98.85,21.66,23.67,0.78,7.47,9.5,9.5,1603.98,1351300.96,358269.91,1058245.94,73.49,17.49,71.05
EXE0064,2026-04-02,USE064,US,Semis,SELL,Patient,VWAP,XNAS,HXUS_TECH,79.67,79.59,79.31,80.45,9696,9696,100.0,19.12,38.27,1.37,3.0,9.98,9.98,770.98,726605.43,29064.22,725054.07,96.0,43.6,77.88
EXE0065,2026-04-03,EHE065,Europe,Healthcare,BUY,Normal,TWAP,XPAR,HXEU,178.27,178.42,180.01,178.91,1388,1338,96.37,21.29,25.86,0.64,6.6,8.86,8.86,211.33,-53315.63,-12571.6,47214.15,76.42,12.56,76.38
EXE0066,2026-04-06,ACO066,Asia,Consumer,SELL,Urgent,Manual Hedge,XHKG,HXAS_HIGHBETA,61.26,61.16,60.92,61.29,31019,30780,99.23,6.46,4.0,0.79,6.5,16.58,16.58,3126.32,285291.91,134631.15,301352.69,52.81,19.44,50.84
EXE0067,2026-04-07,USE067,US,Semis,BUY,Patient,Liquidity Seeking,XNAS,HXUS,88.45,88.59,88.58,88.66,10054,9241,91.91,9.15,40.3,1.81,15.06,15.72,15.72,1284.91,511692.99,96914.91,381047.26,81.06,35.98,51.87
EXE0068,2026-04-08,EHE068,Europe,Healthcare,SELL,Normal,VWAP,XAMS,HXEU_GROWTH,73.57,73.47,73.7,73.85,5521,5521,100.0,11.92,31.88,1.25,13.0,12.59,12.59,511.36,42302.7,11675.15,42486.89,72.4,27.85,63.13
EXE0069,2026-04-09,ACO069,Asia,Consumer,BUY,Urgent,TWAP,XTKS,HXAS,109.95,110.17,109.69,110.63,4109,3908,95.1,15.8,4.35,1.67,13.59,20.42,20.42,877.42,-242420.16,-70656.11,183707.7,70.85,3.46,39.67
EXE0070,2026-04-10,USE070,US,Semis,SELL,Patient,Manual Hedge,XNAS,HXUS_TECH,89.53,89.48,89.7,89.57,4495,4111,91.47,15.92,31.81,1.5,3.0,5.61,5.61,206.48,-163974.81,-21736.28,163246.39,86.74,23.8,73.96
EXE0071,2026-04-13,EHE071,Europe,Healthcare,BUY,Urgent,Liquidity Seeking,XPAR,HXEU,68.04,68.15,68.46,68.46,23016,22686,98.57,13.04,9.01,1.96,4.37,15.75,15.75,2431.13,-856205.47,-176655.78,682066.7,79.37,13.86,58.19
EXE0072,2026-04-14,ACO072,Asia,Consumer,SELL,Patient,VWAP,XHKG,HXAS_HIGHBETA,53.47,53.42,53.55,53.56,14653,13498,92.12,6.04,68.89,1.46,10.81,8.77,8.77,632.92,-445277.63,-68022.77,428284.62,84.72,35.55,72.21
EXE0073,2026-04-15,USE073,US,Semis,BUY,Normal,TWAP,XNAS,HXUS,93.84,93.93,93.93,95.17,29944,29778,99.45,11.57,17.08,0.85,12.21,10.02,10.02,2799.88,177063.12,7082.52,162823.33,96.0,24.05,73.68
EXE0074,2026-04-16,EHE074,Europe,Healthcare,SELL,Urgent,Manual Hedge,XAMS,HXEU_GROWTH,74.64,74.49,74.26,74.41,23158,22737,98.18,24.1,4.0,2.09,9.5,19.91,19.91,3378.98,-42753.95,-21259.91,44739.07,50.27,21.19,41.39
EXE0075,2026-04-17,ACO075,Asia,Consumer,BUY,Patient,Liquidity Seeking,XTKS,HXAS,101.36,101.48,102.06,100.29,17043,16013,93.96,17.83,37.72,2.32,7.88,11.97,11.97,1942.85,493503.65,63592.86,452921.39,87.11,32.14,61.47
EXE0076,2026-04-20,USE076,US,Semis,SELL,Normal,VWAP,XNAS,HXUS_TECH,73.95,73.89,73.72,73.29,3429,3374,98.39,7.65,7.27,0.98,5.4,7.83,7.83,195.36,39398.71,8322.43,38796.62,78.88,12.85,74.28
EXE0077,2026-04-21,EHE077,Europe,Healthcare,BUY,Urgent,TWAP,XPAR,HXEU,60.48,60.59,60.16,61.6,11338,11338,100.0,21.04,10.49,0.95,14.98,18.42,18.42,1263.09,45669.94,19232.98,33746.86,57.89,3.0,51.99
EXE0078,2026-04-22,ACO078,Asia,Consumer,SELL,Normal,Manual Hedge,XHKG,HXAS_HIGHBETA,84.44,84.32,84.0,84.24,8310,7989,96.14,10.31,13.41,1.51,13.03,14.02,14.02,945.75,70601.26,11932.31,53796.29,83.1,22.88,60.09
EXE0079,2026-04-23,USE079,US,Semis,BUY,Urgent,Liquidity Seeking,XNAS,HXUS,108.72,108.91,108.74,109.37,5347,5285,98.84,8.59,15.38,0.87,9.22,17.41,17.41,1000.38,127574.6,42548.25,97316.5,66.65,13.79,50.68
EXE0080,2026-04-24,EHE080,Europe,Healthcare,SELL,Patient,VWAP,XAMS,HXEU_GROWTH,66.96,66.91,67.16,67.11,18464,17732,96.04,17.45,46.58,1.09,8.51,7.2,7.2,854.85,723384.81,160383.43,678360.48,77.83,31.41,75.12
EXE0081,2026-04-27,ACO081,Asia,Consumer,BUY,Normal,TWAP,XTKS,HXAS,62.88,62.94,62.66,63.12,9854,9803,99.48,20.67,25.84,0.94,5.86,10.44,10.44,643.49,-27180.41,-5599.26,26347.11,79.4,24.05,69.44
EXE0082,2026-04-28,USE082,US,Semis,SELL,Urgent,Manual Hedge,XNAS,HXUS_TECH,81.77,81.62,81.9,82.52,10751,10670,99.25,9.48,20.79,1.26,7.77,17.34,17.34,1512.82,-427783.56,-143364.69,449553.32,66.49,9.72,55.6
EXE0083,2026-04-29,EHE083,Europe,Healthcare,BUY,Patient,Liquidity Seeking,XPAR,HXEU,106.35,106.42,106.43,105.24,13745,13233,96.28,23.93,63.36,0.25,12.36,5.94,5.94,835.98,339362.73,13574.51,305573.58,96.0,45.63,81.67
EXE0084,2026-04-30,ACO084,Asia,Consumer,SELL,Normal,VWAP,XHKG,HXAS_HIGHBETA,53.15,53.1,53.81,52.66,7332,6926,94.46,6.63,24.83,0.47,7.56,9.17,9.17,337.57,140167.61,33133.4,101911.76,76.36,24.09,67.86
EXE0085,2026-05-01,USE085,US,Semis,BUY,Patient,TWAP,XNAS,HXUS,57.45,57.49,57.62,57.32,13299,13035,98.02,14.05,43.85,1.58,5.36,7.47,7.47,559.36,36628.94,9035.83,31346.12,75.33,37.31,79.09
EXE0086,2026-05-04,EHE086,Europe,Healthcare,SELL,Normal,Manual Hedge,XAMS,HXEU_GROWTH,87.17,87.07,87.7,86.7,14075,13769,97.83,19.08,26.56,1.19,9.55,11.46,11.46,1375.53,-788098.52,-299965.23,759361.8,61.94,21.64,65.79
EXE0087,2026-05-05,ACO087,Asia,Consumer,BUY,Urgent,Liquidity Seeking,XTKS,HXAS,47.58,47.66,47.77,47.87,18296,17429,95.26,15.93,6.08,1.89,6.0,17.48,17.48,1449.51,843091.05,344267.3,637386.05,59.17,12.37,48.11
EXE0088,2026-05-06,USE088,US,Semis,SELL,Patient,VWAP,XNAS,HXUS_TECH,116.03,115.95,116.18,116.41,4850,4668,96.24,5.32,53.78,0.94,5.77,7.32,7.32,396.48,163866.23,16693.78,156448.27,89.81,43.67,74.84
EXE0089,2026-05-07,EHE089,Europe,Healthcare,BUY,Normal,TWAP,XPAR,HXEU,116.13,116.35,116.21,116.89,9630,9416,97.78,20.99,17.59,1.96,21.39,18.79,18.79,2054.65,-267111.0,-74882.17,222223.67,71.97,13.66,54.18
EXE0090,2026-05-08,ACO090,Asia,Consumer,SELL,Urgent,Manual Hedge,XHKG,HXAS_HIGHBETA,89.92,89.76,90.01,89.58,3950,3882,98.28,14.22,5.87,1.49,8.26,18.0,18.0,628.34,-186984.47,-69228.23,150194.78,62.98,9.41,48.74
EXE0091,2026-01-05,USE091,US,Semis,BUY,Patient,Liquidity Seeking,XNAS,HXUS,110.16,110.28,109.74,110.04,5316,5009,94.22,18.48,41.86,0.47,5.53,10.49,10.49,578.83,104583.28,13174.96,80786.36,87.4,32.78,65.3
EXE0092,2026-01-06,EHE092,Europe,Healthcare,SELL,Urgent,VWAP,XAMS,HXEU_GROWTH,181.63,181.23,181.93,183.68,3401,3339,98.18,14.39,19.95,1.48,8.95,21.95,21.95,1331.15,539083.86,211225.21,486448.09,60.82,14.95,33.87
EXE0093,2026-01-07,ACO093,Asia,Consumer,BUY,Patient,TWAP,XTKS,HXAS,81.33,81.43,81.02,81.96,15049,13774,91.53,15.91,31.73,0.79,16.57,12.47,12.47,1396.93,-123571.2,-20021.42,124542.78,83.8,36.91,58.0
EXE0094,2026-01-08,USE094,US,Semis,SELL,Normal,Manual Hedge,XNAS,HXUS_TECH,129.81,129.61,131.11,128.45,4317,4148,96.08,14.0,25.44,1.47,11.72,15.21,15.21,818.96,174989.74,55241.76,143412.39,68.43,15.11,52.64
EXE0095,2026-01-09,EHE095,Europe,Healthcare,BUY,Urgent,Liquidity Seeking,XPAR,HXEU,51.92,51.99,51.8,52.44,10976,10976,100.0,16.2,4.0,1.36,3.14,12.86,12.86,732.84,-212684.43,-40615.95,172666.48,80.9,19.07,67.28
EXE0096,2026-01-12,ACO096,Asia,Consumer,SELL,Patient,VWAP,XHKG,HXAS_HIGHBETA,65.46,65.4,65.11,65.4,3017,2871,95.17,11.3,39.54,1.43,7.83,8.67,8.67,162.94,11213.5,2086.36,10000.0,81.39,34.16,68.94
EXE0097,2026-01-13,USE097,US,Semis,BUY,Normal,TWAP,XNAS,HXUS,66.41,66.49,66.52,67.01,7173,6970,97.17,9.57,11.88,1.07,13.93,12.21,12.21,565.16,24624.4,4266.81,26166.81,82.67,26.97,64.77
EXE0098,2026-01-14,EHE098,Europe,Healthcare,SELL,Urgent,Manual Hedge,XAMS,HXEU_GROWTH,75.4,75.27,75.4,75.17,14465,13955,96.47,11.74,23.41,1.04,7.75,17.26,17.26,1816.09,779455.07,95102.55,695815.44,87.8,16.23,50.59
EXE0099,2026-01-15,ACO099,Asia,Consumer,BUY,Normal,Liquidity Seeking,XTKS,HXAS,133.47,133.62,132.29,134.48,8494,8026,94.49,8.91,29.56,1.05,4.19,11.26,11.26,1206.17,906762.21,308632.03,944582.25,65.96,16.17,63.57
